date,puzzle_num,row1,row2,row3,col1,col2,col3
2026-07-15,45,Heavyweight,Light Heavyweight,KO/TKO win,Fought in UFC,Fought in RIZIN,Japanese
2026-07-16,46,American,Brazilian,Dutch,Fought in Pride FC,Fought in UFC,Heavyweight
2026-07-17,47,Lightweight fight,Welterweight fight,Middleweight fight,Fought in UFC,Fought in ONE Championship,Submission win
2026-07-18,48,Heavyweight,Middleweight fight,Brazilian,Chuck Liddell opponent,Fought in UFC,KO/TKO win
2026-07-19,49,American,Canadian,Australian,Jon Jones opponent,Fought in UFC,Light Heavyweight
2026-07-20,50,Featherweight fight,Bantamweight fight,Flyweight fight,Fought in UFC,Fought in Strikeforce,Brazilian
2026-07-21,51,Heavyweight,Light Heavyweight,Submission win,Fought in Pride FC,Fought in UFC,Russian
2026-07-22,52,Welterweight fight,Lightweight fight,American,Nick Diaz opponent,Nate Diaz opponent,Fought in UFC
2026-07-23,53,Middleweight fight,Light Heavyweight,KO/TKO win,Fought in UFC,Fought in Bellator,American
2026-07-24,54,Brazilian,Japanese,American,Fought in Pride FC,Fought in RIZIN,Heavyweight
2026-07-25,55,Lightweight fight,Featherweight fight,Title fight,Fought in WEC,Fought in UFC,American
2026-07-26,56,Heavyweight,Middleweight fight,Welterweight fight,Fought in UFC,Fought in Strikeforce,KO/TKO win
2026-07-27,57,American,Brazilian,Russian,Anderson Silva opponent,Chael Sonnen opponent,Middleweight fight
2026-07-28,58,Light Heavyweight,Middleweight fight,Submission win,Fought in UFC,Fought in ONE Championship,Brazilian
2026-07-29,59,Heavyweight,KO/TKO win,Decision win,Fought in Pride FC,Fought in UFC,Dutch fighter
2026-07-30,60,American,Canadian,Irish,Conor McGregor opponent,Lightweight fight,Fought in UFC
2026-07-31,61,Featherweight fight,Bantamweight fight,Flyweight fight,Fought in UFC,Fought in WEC,Title fight
2026-08-01,62,Heavyweight,Light Heavyweight,Brazilian,Fought in UFC,Fought in Pride FC,KO/TKO win
2026-08-02,63,Welterweight fight,Lightweight fight,Middleweight fight,Fought in Bellator,Fought in UFC,American
2026-08-03,64,Russian,Dagestani,American,Khabib opponent,Fought in UFC,Lightweight fight
2026-08-04,65,Heavyweight,Submission win,Title fight,Fought in Strikeforce,Fought in UFC,Brazilian
2026-08-05,66,Light Heavyweight,Middleweight fight,KO/TKO win,Fought in Pride FC,Fought in UFC,Japanese
2026-08-06,67,American,Brazilian,Australian,Jon Jones opponent,Fought in UFC,Light Heavyweight
2026-08-07,68,Featherweight fight,Bantamweight fight,Lightweight fight,Fought in WEC,Fought in UFC,American
2026-08-08,69,Heavyweight,Light Heavyweight,Middleweight,Fought in UFC,Fought in RIZIN,KO/TKO win
2026-08-09,70,Brazilian,American,Dutch,Fought in Pride FC,Fedor opponent,Heavyweight
2026-08-10,71,Welterweight fight,Lightweight fight,Title fight,Fought in UFC,Fought in Strikeforce,American
2026-08-11,72,Middleweight fight,Light Heavyweight,Submission win,Fought in UFC,Fought in Bellator,Brazilian
2026-08-12,73,American,Russian,Japanese,Fought in Pride FC,Fought in UFC,Heavyweight
2026-08-13,74,Featherweight fight,Bantamweight fight,Flyweight fight,Fought in UFC,Fought in ONE Championship,Brazilian
2026-08-14,75,Heavyweight,KO/TKO win,Decision win,Fought in UFC,Fought in WEC,American
2026-08-15,76,Light Heavyweight,Middleweight fight,Welterweight fight,Fought in Strikeforce,Fought in UFC,Title fight
2026-08-16,77,American,Brazilian,Irish,Conor McGregor opponent,Featherweight fight,Fought in UFC
2026-08-17,78,Heavyweight,Light Heavyweight,Submission win,Fought in Pride FC,Fought in RIZIN,Japanese
2026-08-18,79,Welterweight fight,Lightweight fight,Middleweight fight,Fought in UFC,Fought in Bellator,KO/TKO win
2026-08-19,80,Brazilian,American,Russian,Fought in UFC,Fought in Pride FC,Heavyweight
2026-08-20,81,Featherweight fight,Bantamweight fight,Title fight,Fought in WEC,Fought in UFC,American
2026-08-21,82,Light Heavyweight,Middleweight fight,KO/TKO win,Fought in UFC,Fought in Strikeforce,Brazilian
2026-08-22,83,American,Canadian,Australian,GSP opponent,Fought in UFC,Welterweight fight
2026-08-23,84,Heavyweight,Submission win,Decision win,Fought in Pride FC,Fought in ONE Championship,Dutch fighter
2026-08-24,85,Lightweight fight,Featherweight fight,Bantamweight fight,Fought in UFC,Fought in WEC,Title fight
2026-08-25,86,Brazilian,Japanese,American,Fought in Pride FC,Fought in RIZIN,KO/TKO win
2026-08-26,87,Middleweight fight,Light Heavyweight,Welterweight fight,Fought in UFC,Fought in Bellator,Submission win
2026-08-27,88,American,Russian,Dagestani,Khabib opponent,Islam Makhachev opponent,Lightweight fight
2026-08-28,89,Heavyweight,Light Heavyweight,Middleweight,Fought in UFC,Fought in Pride FC,KO/TKO win
2026-08-29,90,Brazilian,American,Irish,Conor McGregor opponent,Fought in UFC,Featherweight fight
